AnimationName,CenterSLL,ChangeNextPointer,FadeInContainer,FadeInPointer,FadeInTrav,FadeOutContainer,FadeOutPointer,FadeOutTrav,FlattenList,GrowPointer,MoveTrav,ShiftSubList,FlattenTail,ShrinkPointer,UnshrinkPointer,CurvePointer,FlattenListForRemove,MoveAndFlipTrav,Empty
CenterSLL,yes,yes,,,,,,,yes,,yes,yes,yes,,,,yes,yes
ChangeNextPointer,-,yes,,,,,,,yes,yes,,yes,yes,yes,yes,yes,yes
FadeInContainer,-,-,yes,,,yes
FadeInPointer,-,-,-,yes,,,yes,,,yes,,,,,,,,
FadeInTrav,-,-,-,-,yes,,,yes
FadeOutContainer,-,-,-,-,-,yes,,,,,
FadeOutPointer,-,-,-,-,-,-,yes,,,yes
FadeOutTrav,-,-,-,-,-,-,-,yes
FlattenList,-,-,-,-,-,-,-,-,yes,yes,yes,yes,,yes,yes,yes,yes,yes
GrowPointer,-,-,-,-,-,-,-,-,-,yes,,yes,,yes,yes,yes,yes
MoveTrav,-,-,-,-,-,-,-,-,-,-,yes,,yes,,,,yes,yes
ShiftSubList,-,-,-,-,-,-,-,-,-,-,-,yes,yes,,,,yes,yes
FlattenTail,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,yes,yes,yes
ShrinkPointer,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,yes
UnshrinkPointer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes
CurvePointer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes
FlattenListForRemove,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes
MoveAndFlipTrav,,,,,,,,,,,,,,,,,,yes
Empty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
